Unnamed: 0,Part name ,Vendor,Country of origin,Qty,Cost,Total cost
,,,,,,1284448.84
Structural,Bearing shaft,MG Tech,India,8.0,450.0,3600.0
,Knee_shaft,MG Tech,India,4.0,550.0,2200.0
,Calf_actuator_rod,MG Tech,India,4.0,2400.0,9600.0
,hip_coupler,MG Tech,India,4.0,3490.0,13960.0
,X8_X8_coupler,MG Tech,India,4.0,3225.0,12900.0
,Calf,MG Tech,India,2.0,707.0,1414.0
,Calf_mirror,MG Tech,India,2.0,3928.0,7856.0
,cam_base,MG Tech,India,2.0,1100.0,2200.0
,cam_base_mirror,MG Tech,India,2.0,1100.0,2200.0
,cam_cover,MG Tech,India,2.0,1050.0,2100.0
,cam_cover_mirror,MG Tech,India,2.0,1050.0,2100.0
,thigh_link_top,MG Tech,India,2.0,9662.0,19324.0
,thigh_link_top_mirror,MG Tech,India,2.0,9662.0,19324.0
,thigh_link_base,MG Tech,India,2.0,12677.0,25354.0
,thigh_link_base_mirror,MG Tech,India,2.0,12677.0,25354.0
,trunk_front_plate,MG Tech,India,2.0,3167.0,6334.0
,trunk_sheet_metal,MG Tech,India,1.0,6000.0,6000.0
,handles,MG Tech,India,2.0,1400.0,2800.0
,Knee Bearing,Misumi,Japan,4.0,943.05,3772.2
,actuator rod bearing,Misumi,Japan,8.0,559.44,4475.52
,thrust bearing,Misumi,Japan,8.0,62.0,496.0
,thrust washer,Misumi,Japan,16.0,175.32,2805.12
,,,,,,0.0
Electronics,X8 motor,Stock,China,8.0,82838.0,662704.0
,X12 motor,Stock,China,4.0,93644.0,374576.0
,Wires,Robu,China,1.0,1000.0,1000.0
,Battery,MagniPower,India,1.0,70000.0,70000.0
,Jetson,Stock,China,1.0,,
,Switch,,,,,
,Camera,,,0.0,,
,Motherboard,,,1.0,,0.0
