Cell Model,Chemistry,Capacity (mAh),Energy (Wh),Dimensions (mm),Weight (g),Continuous Discharge Current (A),Peak Discharge Current (A),Series count,Parallel count,Capacity (Ah),Capacity (Wh),Continous Discharge,peak discharge,pack width,pack length, Weight
Panasonic NCR18650G,NMC,3600,12.96,18.3 x 65.0,47,10.0,20,10,10,36000,133.2,100.0,200,210.0,210,4.7
LG Chem INR18650MJ1,NMC,3500,12.6,18.3 x 65.0,48,10.0,20,10,10,35000,129.5,100.0,200,210.0,210,4.8
Samsung INR18650-35E,NMC,3500,12.6,18.3 x 65.0,48,8.0,15,10,10,35000,129.5,80.0,150,210.0,210,4.8
Molicel INR-18650-M35A,NMC,3500,12.6,18.3 x 65.0,48,10.0,15,10,10,35000,129.5,100.0,150,210.0,210,4.8
Tesla 21700 (Panasonic),NMC,4800,17.28,21.0 x 70.0,68,15.0,30,10,7,33600,124.32,105.0,210,171.5,245,4.76
LG Chem INR21700-M50T,NMC,5000,18.0,21.0 x 70.0,69,9.8,20,10,7,35000,129.5,68.6,140,171.5,245,4.83
EVE 21700 (EVE-LF50),NMC,5000,18.0,21.0 x 70.0,70,10.0,20,10,7,35000,129.5,70.0,140,171.5,245,4.9
Molicel INR-21700-P42A,NMC,4200,15.12,21.0 x 70.0,69,45.0,60,10,7,29400,108.78,315.0,420,171.5,245,4.83
Molicel INR-21700-M50A,NMC,5000,18.0,21.0 x 70.0,70,15.0,25,10,7,35000,129.5,105.0,175,171.5,245,4.9
