General,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Part Number,thigh_link_R1,
,Part Name,thigh_link_R1 v20,
,Description,,
,Material Name,(Various),
,,,
Manage,,,
,Item Number,,
,Lifecycle,,
,Revision,,
,State,,
,Change Order,,
,,,
Physical,,,
,Mass,2226.916 g,
,Volume,4.014E+05 mm^3,
,Density,0.006 g / mm^3,
,Area,3.032E+05 mm^2,
,"World X,Y,Z","-188.341 mm, -197.609 mm, -92.376 mm",
,Center of Mass,"-79.151 mm, -173.50 mm, -8.557 mm",
,Bounding Box,,
,,Length,390.198 mm
,,Width,91.40 mm
,,Height,157.575 mm
,Moment of Inertia at Center of Mass   (g mm^2),,
,,Ixx,4240000
,,Ixy,2424000
,,Ixz,3819000
,,Iyx,2424000
,,Iyy,22730000
,,Iyz,-508700
,,Izx,3819000
,,Izy,-508700
,,Izz,21200000
,Moment of Inertia at Origin   (g mm^2),,
,,Ixx,71440000
,,Ixy,-28160000
,,Ixz,2311000
,,Iyx,-28160000
,,Iyy,36850000
,,Iyz,-3815000
,,Izx,2311000
,,Izy,-3815000
,,Izz,102200000
