Unnamed: 0,Part name ,Qty,Material,Weight,27650
,Bearing shaft,8.0,EN24,5.0,40.0
,Knee_shaft,4.0,EN24,57.0,228.0
,Calf_actuator_rod,4.0,Aluminium,72.0,288.0
,hip_coupler,4.0,Aluminium,154.0,616.0
,X8_X8_coupler,4.0,Aluminium,162.0,648.0
,Calf,2.0,Aluminium,286.0,572.0
,Calf_mirror,2.0,Aluminium,286.0,572.0
,cam_base,2.0,Aluminium,10.0,20.0
,cam_base_mirror,2.0,Aluminium,10.0,20.0
,cam_cover,2.0,Aluminium,16.0,32.0
,cam_cover_mirror,2.0,Aluminium,16.0,32.0
,thigh_link_top,2.0,Aluminium,256.0,512.0
,thigh_link_top_mirror,2.0,Aluminium,256.0,512.0
,thigh_link_base,2.0,Aluminium,265.0,530.0
,thigh_link_base_mirror,2.0,Aluminium,265.0,530.0
,upper_bar,2.0,Aluminium,299.0,598.0
,lower_bar,2.0,Aluminium,141.0,282.0
,trunk_front_plate,2.0,Aluminium,550.0,1100.0
,handles,2.0,Aluminium,40.0,80.0
,trunk_sheet_metal,1.0,Aluminium,1380.0,1380.0
,Knee Bearing,4.0,,17.0,68.0
,actuator rod bearing,8.0,,2.0,16.0
,thrust bearing,8.0,,10.0,80.0
,thrust washer,16.0,,1.5,24.0
,,,,,
Electronics,X8 motor,8.0,,850.0,6800.0
,X12 motor,4.0,,1400.0,5600.0
,Wires,1.0,,300.0,300.0
,Battery,1.0,,5700.0,5700.0
,Jetson,1.0,,100.0,100.0
,Switch,1.0,,20.0,20.0
,Camera,1.0,,50.0,50.0
,Motherboard,1.0,,300.0,300.0
